timestamp,x,y,z
31126429980,-4.1875,0.625,-0.375
31126446475,-4.375,0.4375,-0.0625
31126468999,-4.3125,0.5,-0.25
31126490085,-4.4375,0.3125,-0.375
31126506488,-4.6875,0.0625,-0.3125
31126529011,-4.875,-0.375,-0.5625
31126551339,-3.875,0,-0.5
31126566380,-3.6875,0.5,-0.1875
31126589043,-3.5625,0.875,0.3125
31126611376,-3.0625,1,0.125
31126626335,-2.125,0.75,-0.4375
31126648962,-1.0625,0.5625,-0.625
31126677510,-0.375,0.4375,-1.1875
31126685654,-0.5,0.6875,-1
31126708848,-1,1.3125,-1.25
31126731847,-1.3125,1.8125,-2.4375
31126745703,-1.25,2,-3.8125
31126768867,-0.8125,2.1875,-5.1875
31126791527,-1.375,1.625,-6.1875
31126805669,-1.6875,1.125,-7.25
31126828860,-2.1875,0.8125,-8.875
31126851354,-2,0.625,-10.5
31126865856,-1.5625,0.5625,-12.625
31126889000,-1.5,0.3125,-14.1875
31126911363,-1.375,0.625,-15.375
31126925722,-1.0625,0.25,-16.6875
31126948905,-1.4375,-0.125,-17.875
31126971375,-1.3125,-0.3125,-18.625
31126992486,-0.125,-0.0625,-18.625
31127008798,0.25,-0.8125,-18.3125
31127031370,-0.375,-1.5,-16.8125
31127052533,-0.875,-2.25,-15.375
31127068840,-0.1875,-2.75,-13.875
31127091322,-0.5625,-3.5,-12.1875
31127112438,-1.1875,-4.625,-11.125
31127128939,-1.5625,-5.9375,-10.25
31127151463,-1.9375,-6.8125,-9.1875
31127172333,-2.125,-7.75,-7.9375
31127188833,-2.4375,-8.4375,-7.125
31127211335,-2.875,-8.5625,-6.75
31127232371,-2.375,-7.75,-6.875
31127248797,-1.75,-7.0625,-6.75
31127271339,-1.5625,-6.125,-6.1875
31127292589,-1.0625,-4.9375,-5.3125
31127308983,-1.8125,-4.125,-4.8125
31127331405,-1.8125,-4,-4.5
31127352423,-1.875,-3.9375,-4.625
31127368917,-1.3125,-4.0625,-4.6875
31127391314,-1.3125,-4.4375,-4.375
31127412538,-1.625,-5.1875,-3.875
31127428924,-1.6875,-5.25,-3.5
31127434223,-1.125,-5.1875,-2.9375
31127456726,-0.75,-4.3125,-2.125
31127479244,-0.5625,-3.9375,-1.25
31127494492,-0.6875,-3.375,-0.75
31127516803,-1.0625,-2.5,-0.5625
31127539372,-1,-1.625,-0.1875
31127554457,-0.6875,-0.9375,-0.4375
31127576999,-0.8125,-0.9375,-0.1875
31127599395,-0.3125,-0.75,0
31127614168,-0.0625,-0.8125,0.3125
31127636816,-0.1875,-0.8125,0.3125
31127659220,-0.8125,-0.75,0.125
31127674300,-1,-0.9375,-0.375
31127696765,-0.5625,-0.875,-0.5625
31127719300,-0.375,-0.8125,-0.9375
31127734457,-0.6875,-0.375,-1.0625
31127756936,-0.5,-0.1875,-1.125
31127779173,-0.875,0.25,-1.25
31127794210,-1.875,-0.25,-1.3125
31127816864,-1.6875,-0.1875,-1.375
31127839354,-1.625,-0.375,-1.5625
31127854376,-1.6875,-0.1875,-1.875
31127876687,-1.9375,0.0625,-2.5
31127899226,-3.375,0.3125,-2.6875
