Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
32964752189,-11.0625,11.25,102.75,-0.219727,0.575684,0.765625,,,
32964774827,-10.875,12.9375,102.312,-0.238281,0.584473,0.795898,,,
32964797150,-12.0625,10.25,102.688,-0.257324,0.568359,0.819336,,,
32964819672,-14,7.1875,98.0625,-0.242188,0.503906,0.833008,,,
32964834614,-8.375,6.625,89.8125,-0.250488,0.51709,0.833496,,,
32964857138,-10.625,7.1875,81.75,-0.265625,0.53418,0.823242,,,
32964874104,-16.25,10.9375,70.3125,-0.259766,0.48291,0.797852,,,
32964902174,-15.5625,13.875,59,-0.288086,0.444824,0.82666,,,
32964917136,-10.1875,14.8125,45.5,-0.289062,0.425781,0.790527,,,
32964934046,-2.25,13.5,32.625,-0.307129,0.44043,0.827148,,,
32964962400,2.9375,8.5,23.6875,-0.299805,0.460938,0.837402,,,
32964977294,2.25,11.5,14.8125,-0.307617,0.448242,0.85791,,,
32964994067,4.8125,2.4375,14.25,-0.278809,0.480957,0.848145,,,
32965022035,4.4375,1,7.5625,-0.20166,0.481445,0.856934,,,
32965037079,7.6875,-3.25,2.0625,-0.199219,0.499023,0.866699,,,
32965053514,3.625,-7.6875,-1.5,-0.161621,0.519043,0.853027,,,
32965082132,-1,-6,-2.25,-0.112305,0.519043,0.865723,,,
32965097278,-2.875,-5.625,-1.625,-0.0864258,0.529785,0.851562,,,
32965114657,-2.125,-7.875,-1.875,-0.074707,0.54248,0.846191,,,
32965150213,-2.4375,-7.125,-1.3125,-0.0698242,0.539551,0.842285,,,
32965157035,-4.9375,-4.9375,0.375,-0.0717773,0.543457,0.84375,,,
32965189174,-6.0625,-3.4375,0,-0.0722656,0.522461,0.834961,,,
32965194585,-4.0625,-4.5625,0.125,-0.0791016,0.51709,0.839355,,,
32965217155,-4.25,-7.125,0.3125,-0.0732422,0.508789,0.834473,,,
32965241106,-5,-6.5625,1.5,-0.0532227,0.519043,0.839844,,,
32965254531,-4.6875,-3.9375,2.75,-0.0483398,0.511719,0.841797,,,
32965277165,-3.25,-5,1.8125,-0.0703125,0.513184,0.849609,,,
32965300985,-2.0625,-7.375,1.6875,-0.0649414,0.522949,0.841797,,,
32965314707,-6,-7.5,4.125,-0.0576172,0.532715,0.847656,,,
32965337051,-8.3125,-9.5625,7.1875,-0.074707,0.529297,0.827637,,,
32965361072,-8.4375,-11.5625,5.875,-0.0610352,0.499512,0.840332,,,
32965374509,0.4375,-4.1875,2.9375,-0.0390625,0.534668,0.842773,,,
32965397167,10.875,-1.1875,-5.5,-0.0561523,0.549316,0.816895,,,
32965414824,5.8125,1.3125,-7.625,-0.101562,0.509277,0.837402,,,
32965434658,-7.6875,-0.6875,-2.25,-0.0942383,0.461426,0.865723,,,
32965458750,-11.875,-0.1875,-1.5,-0.0795898,0.439941,0.873047,,,
32965473621,-5.5,1.1875,-0.625,-0.043457,0.478516,0.872559,,,
32965494834,0.4375,0.875,-3.875,-0.034668,0.51709,0.862793,,,
32965518531,-0.0625,0.9375,-4.5625,-0.0400391,0.528809,0.85791,,,
32965533526,-3.75,1.75,-2.8125,-0.0522461,0.519043,0.850586,,,
32965554697,-4,1.4375,-1.0625,-0.0600586,0.496094,0.853027,,,
32965578574,-2.4375,0.5625,-0.9375,-0.0585938,0.510742,0.840332,,,
32965593469,-2.125,-2.125,-0.4375,-0.0532227,0.508789,0.850586,,,
32965615969,-2.4375,-2,0,-0.0493164,0.506348,0.855469,,,
32965638876,-2.25,-0.6875,-0.375,-0.0522461,0.504395,0.859375,,,
32965652987,-2.4375,-0.75,-1.0625,-0.0625,0.495605,0.861816,,,
32965676201,-1.5625,-1,-1.125,-0.0595703,0.499512,0.862305,,,
32965704532,-1.375,-1,-0.875,-0.0615234,0.500977,0.855957,,,
32965713032,-1.75,-0.875,-0.6875,-0.0576172,0.510254,0.858398,,,
32965735984,-2.9375,-0.125,-0.75,-0.0561523,0.501953,0.868164,,,
32965764618,-2.625,0.1875,-1.25,-0.0571289,0.498535,0.859375,,,
32965772889,-3,0.3125,-1.8125,-0.0634766,0.494629,0.861328,,,
32965796113,-2.25,0.1875,-1.8125,-0.0629883,0.499023,0.858398,,,
32965810613,-3.5,0.125,-1.625,-0.0625,0.5,0.862793,,,
32965832830,-3.3125,-0.25,-1.4375,-0.0620117,0.491699,0.86084,,,
32965856539,-2.125,-0.5,-1.25,-0.0561523,0.48877,0.850586,,,
32965870318,-1.5625,-0.8125,-1.25,-0.0634766,0.489746,0.849121,,,
32965893146,-1.625,-0.8125,-1.0625,-0.0678711,0.488281,0.852539,,,
32965916054,-2,-1.1875,-1,-0.0556641,0.489258,0.851074,,,
32965930637,-0.625,-1.9375,-1.1875,-0.0595703,0.490723,0.858398,,,
32965952907,0.6875,-2.25,-0.875,-0.0512695,0.494141,0.858398,,,
32965983638,0.75,-2.4375,-0.4375,-0.0493164,0.492188,0.857422,,,
32965990365,0,-3,-0.3125,-0.0493164,0.483398,0.857422,,,
32966013391,0.125,-2.5,-0.4375,-0.0566406,0.48877,0.86084,,,
32966043599,0.4375,-2.3125,-0.1875,-0.0585938,0.492188,0.85498,,,
32966050374,-0.125,-2,-0.3125,-0.0546875,0.490723,0.866211,,,
32966073446,0.5,-1.875,-0.25,-0.0527344,0.492188,0.861328,,,
32966103566,0.8125,-2.0625,-0.1875,-0.0581055,0.497559,0.856445,,,
32966110541,1,-2.8125,0,-0.0625,0.484863,0.851074,,,
32966132961,1.25,-2.4375,0.125,-0.0595703,0.490723,0.855957,,,
32966156119,1.0625,-2.375,0.6875,-0.0585938,0.48877,0.858887,,,
32966170946,1.8125,-2.375,1,-0.0498047,0.492188,0.862305,,,
32966192950,2.125,-2.875,0.8125,-0.050293,0.495605,0.861816,,,
32966216243,2.3125,-2.625,0.5,-0.0424805,0.503418,0.858887,,,
32966230890,1.25,-2.3125,0.0625,-0.0478516,0.493652,0.86377,,,
32966261561,1.6875,-2.0625,0.0625,-0.0454102,0.490723,0.856934,,,
32966276084,2.125,-2.125,0.375,-0.0498047,0.49707,0.858398,,,
32966290822,1.75,-1.8125,0.125,-0.0507812,0.496094,0.859863,,,
32966321021,1.5,-1.875,0.3125,-0.0400391,0.49707,0.862793,,,
32966336283,0.6875,-1.125,0.125,-0.046875,0.503418,0.86377,,,
32966357353,1.0625,-1,0.0625,-0.0473633,0.496582,0.86377,,,
32966380981,0.9375,-1.0625,0,-0.0493164,0.501465,0.86377,,,
32966396083,0.1875,-0.75,-0.0625,-0.0473633,0.500977,0.860352,,,
32966417180,-0.0625,-0.5625,-0.5,-0.0517578,0.503418,0.864258,,,
32966439855,-0.25,-0.3125,-0.5625,-0.050293,0.509277,0.858887,,,
32966456069,0.125,0,-0.6875,-0.0512695,0.503418,0.849121,,,
32966478622,-0.25,-0.1875,-0.6875,-0.0488281,0.498535,0.850586,,,
32966493172,0.25,-0.4375,-1.1875,-0.0488281,0.499023,0.856934,,,
32966516076,0.4375,-0.4375,-1,-0.0458984,0.5,0.857422,,,
32966538697,0.3125,-0.5,-1,-0.0415039,0.497559,0.856445,,,
32966552893,0.1875,-0.625,-0.9375,-0.043457,0.49707,0.856934,,,
32966575539,0.0625,-0.625,-1.125,-0.0458984,0.496094,0.856934,,,
32966598699,0.25,-0.625,-0.75,-0.0512695,0.498535,0.857422,,,
32966613025,0.0625,-0.9375,-0.625,-0.0498047,0.498047,0.852539,,,
32966635420,-0.1875,-0.8125,-0.8125,-0.0507812,0.498535,0.858887,,,
32966658629,0.375,-0.875,-0.6875,-0.046875,0.500977,0.851074,,,
32966672873,0.5,-0.6875,-0.875,-0.0507812,0.498535,0.851074,,,
32966695358,0.375,-0.625,-0.8125,-0.0488281,0.5,0.850098,,,
32966717051,0.25,-0.6875,-0.9375,-0.046875,0.498535,0.856934,,,
32966732988,0.125,-0.625,-0.75,-0.043457,0.500488,0.86377,,,
32966755405,-0.25,-0.375,-0.5625,-0.0488281,0.493652,0.865723,,,
32966786221,-0.3125,0,-0.3125,-0.0449219,0.494629,0.861328,,,
32966793017,-0.125,0.1875,-0.5625,-0.0493164,0.498047,0.859863,,,
32966815898,-0.25,0.125,-0.75,-0.0483398,0.5,0.855469,,,
32966846283,-0.375,0.1875,-1.0625,-0.0483398,0.508301,0.855469,,,
32966852985,-0.5625,0.4375,-1.1875,-0.0483398,0.499023,0.852051,,,
32966875916,-0.1875,0.3125,-1.25,-0.0522461,0.5,0.852539,,,
32966906130,-0.125,0.3125,-1.0625,-0.0512695,0.499512,0.850586,,,
32966912964,-0.4375,-0.0625,-1.0625,-0.0483398,0.500488,0.863281,,,
32966935847,-0.5625,0,-1.125,-0.0463867,0.496582,0.856445,,,
32966964616,-0.8125,-0.0625,-1.1875,-0.046875,0.495117,0.86084,,,
32966973073,-0.5625,-0.25,-1.3125,-0.0444336,0.492188,0.858887,,,
32967002068,-0.4375,-0.3125,-1.1875,-0.0498047,0.50293,0.857422,,,
32967019117,-0.75,-0.25,-0.9375,-0.0512695,0.496094,0.855957,,,
32967032963,-1.1875,-0.3125,-0.75,-0.0498047,0.501465,0.862793,,,
32967063519,-0.9375,-0.3125,-0.8125,-0.0498047,0.496094,0.853027,,,
32967078507,-0.875,-0.0625,-0.9375,-0.0449219,0.500488,0.863281,,,
