Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
,-1.375,-4.3125,-9.625,-0.018983163,0.024364286,0.095762959,,,
,-3,-7.1875,-6.4375,-0.020926327,0.021972653,0.092125714,,,
,-6.25,-7.8125,-3.75,-0.022072347,0.021125612,0.092275204,,,
,-6.125,-8.3125,-2.4375,-0.02002949,0.021673673,0.093221837,,,
,-2.5625,-7.4375,-1.4375,-0.019830204,0.025111633,0.094965714,,,
,-0.625,-4.75,-1.6875,-0.01833551,0.02825051,0.096410612,,,
,0.125,-2.25,-3.625,-0.014748061,0.030094082,0.096809184,,,
,-1.375,-0.8125,-6,-0.011559286,0.029346735,0.095862551,,,
,-4.6875,-0.5,-8.5625,-0.009217551,0.027303878,0.09546398,,,
,-6.375,-0.625,-11.375,-0.008719306,0.024115102,0.095065408,,,
,-4.9375,-1.625,-13.6875,-0.009616153,0.02286949,0.094716633,,,
,-3.8125,-2.5,-15.0625,-0.010562857,0.022520714,0.094816224,,,
,-1.25,-3.5625,-15.75,-0.010762143,0.02286949,0.095364286,,,
,1.125,-4.375,-16.3125,-0.010612653,0.02570949,0.09546398,,,
,0.4375,-4.75,-17.25,-0.010911633,0.027602857,0.094019082,,,
,-3.8125,-4.875,-18.6875,-0.010961429,0.027901837,0.093172041,,,
,-8.5,-4.125,-20,-0.010313673,0.02570949,0.093570612,,,
,-9.8125,-3.25,-21.0625,-0.009068082,0.02541051,0.095962245,,,
,-9.6875,-2.875,-22.625,-0.008818959,0.025310918,0.095713061,,,
,-9,-3.1875,-24.375,-0.008221061,0.026008469,0.095364286,,,
,-9.4375,-4.5625,-26.125,-0.008021765,0.02570949,0.097008571,,,
,-8.25,-5.6875,-28.0625,-0.008569837,0.023168469,0.096759388,,,
,-6.3125,-6.375,-30.8125,-0.010214082,0.025011939,0.097755918,,,
,-5.5,-7.375,-32.9375,-0.010164224,0.024463878,0.098802245,,,
,-4.3125,-8.3125,-33.4375,-0.007822469,0.022620408,0.100546122,,,
