timestamp,x,y,z,w
31124946521,0.333435,0.0892334,0.808594,0.476379
31124960614,0.334106,0.0892944,0.808289,0.476379
31124983837,0.334839,0.0894775,0.807922,0.47644
31125006300,0.33551,0.0897217,0.807617,0.47644
31125020777,0.335876,0.0898438,0.807373,0.476624
31125043928,0.33606,0.0900269,0.807129,0.476929
31125066381,0.336304,0.09021,0.806885,0.477112
31125080704,0.336609,0.0904541,0.806641,0.477173
31125104115,0.336975,0.0905762,0.806458,0.477295
31125126354,0.337158,0.0905151,0.806335,0.477295
31125147544,0.337463,0.090332,0.806335,0.477112
31125163867,0.337646,0.09021,0.806396,0.47699
31125186387,0.337585,0.0900269,0.806458,0.476929
31125207442,0.337341,0.0897827,0.806519,0.477051
31125224004,0.336975,0.0895386,0.80658,0.477173
31125246382,0.336792,0.0895386,0.806519,0.477417
31125267609,0.336731,0.0895996,0.806396,0.477722
31125284081,0.33667,0.0896606,0.806213,0.478027
31125306481,0.33667,0.0896606,0.806091,0.478271
31125327492,0.33667,0.0897217,0.806091,0.478271
31125343949,0.33667,0.0897217,0.806091,0.478271
31125366316,0.33667,0.0897217,0.806091,0.478271
31125387552,0.336609,0.0897217,0.806091,0.478271
31125403956,0.336609,0.0897217,0.806091,0.478271
31125426376,0.336609,0.0897827,0.806091,0.478271
31125447366,0.336609,0.0897827,0.806091,0.478271
31125463855,0.336609,0.0897827,0.806091,0.478271
31125486322,0.336914,0.0895996,0.806091,0.478088
31125507421,0.336975,0.0895386,0.806152,0.477966
31125523978,0.337097,0.0895386,0.806152,0.477844
31125546383,0.337219,0.0895996,0.806152,0.477722
31125568996,0.337219,0.0896606,0.806152,0.477722
31125584051,0.337524,0.0897217,0.806091,0.4776
31125606319,0.337769,0.0897217,0.806091,0.477478
31125628754,0.337952,0.0899048,0.80603,0.477417
31125643756,0.338013,0.090332,0.80603,0.477234
31125666296,0.338074,0.0907593,0.806152,0.47699
31125688834,0.337952,0.0911865,0.806213,0.476868
31125703355,0.337585,0.0913696,0.806396,0.476807
31125726564,0.337402,0.0916138,0.806519,0.476685
