timestamp,roll,pitch,yaw,AccX,AccY,AccZ,RelAccX,RelAccY,RelAccZ,GyroX,GyroY,GyroZ,QuarX,QuarY,QuarZ,QuarW
31124001320,0.0267177,-0.448967,2.32038,0.413574,0.0673828,0.730469,-69.8598733,23.60302721,59.6337848,26.5,8,-84.6875,0.20929,-0.0769043,0.894958,0.386353
31124023959,0.0539362,-0.44691,2.28754,0.392578,0.0800781,0.722656,-69.4672953,23.68310531,60.3564408,34.625,5.0625,-84.125,0.212524,-0.0678101,0.889709,0.398254
31124038130,0.0832841,-0.445347,2.25477,0.388672,0.128418,0.722656,-69.0786233,23.81152331,61.0790968,39.375,1.4375,-82.8125,0.216736,-0.0579834,0.884155,0.409729
31124061388,0.112522,-0.444108,2.22323,0.406738,0.140625,0.720703,-68.6718853,23.95214831,61.7997998,41.1875,-0.5,-80.1875,0.221436,-0.0482788,0.878479,0.420471
31124083936,0.142756,-0.442493,2.19225,0.404785,0.163086,0.709961,-68.2671003,24.11523431,62.5097608,44.6875,-1.5625,-78.9375,0.226501,-0.038147,0.872681,0.430786
31124105081,0.173316,-0.440068,2.16241,0.418457,0.197266,0.738281,-67.8486433,24.31250031,63.2480418,46.9375,-1.125,-76.3125,0.231628,-0.02771,0.866882,0.440491
31124121386,0.204491,-0.437398,2.13418,0.466309,0.208984,0.757324,-67.3823343,24.52148431,64.0053658,51.6875,0.375,-73,0.237122,-0.0169067,0.861145,0.44928
31124143812,0.236635,-0.434622,2.10755,0.483398,0.230957,0.769531,-66.8989363,24.75244131,64.7748968,57.125,-0.1875,-69.25,0.243103,-0.00561523,0.855469,0.457092
31124164980,0.267519,-0.432335,2.08359,0.526367,0.260254,0.805664,-66.3725693,25.01269531,65.5805608,57.1875,-0.5625,-63.0625,0.249268,0.00518799,0.850098,0.463745
31124181382,0.297761,-0.430936,2.06191,0.547363,0.288086,0.807617,-65.8252063,25.30078131,66.3881778,58.4375,-2.1875,-57.25,0.255859,0.015625,0.844971,0.469299
31124204038,0.327502,-0.430119,2.04214,0.570801,0.361816,0.828613,-65.2544053,25.66259731,67.2167908,56.625,-3.5,-50.5,0.262756,0.0258179,0.840027,0.473816
31124224931,0.356155,-0.429954,2.02415,0.596191,0.421387,0.850586,-64.6582143,26.08398431,68.0673768,54.375,-4.4375,-45.375,0.269775,0.0354614,0.835327,0.4776
31124241366,0.383915,-0.429578,2.00756,0.571777,0.467773,0.88623,-64.0864373,26.55175731,68.9536068,53,-6.375,-40.8125,0.276611,0.0448608,0.830811,0.480774
31124263860,0.408517,-0.428458,1.993,0.535645,0.473633,0.916016,-63.5507923,27.02539031,69.8696228,48.9375,-7.125,-35.6875,0.282471,0.0533447,0.826721,0.483459
31124285174,0.430947,-0.428666,1.98078,0.54834,0.498047,0.919434,-63.0024523,27.52343731,70.7890568,45.125,-8.4375,-28.875,0.28833,0.060791,0.82312,0.485291
31124301370,0.449635,-0.430297,1.9706,0.553711,0.520508,0.936523,-62.4487413,28.04394531,71.7255798,37.5625,-11.0625,-22.0625,0.293823,0.0665283,0.820007,0.486511
31124324007,0.464694,-0.432912,1.96245,0.554688,0.51123,0.939453,-61.8940533,28.55517531,72.6650328,30.9375,-12.25,-16.75,0.298767,0.0707397,0.817444,0.487244
31124345159,0.47813,-0.436054,1.95595,0.555176,0.525879,0.921875,-61.3388773,29.08105431,73.5869078,27.8125,-11.8125,-11.625,0.303467,0.0743408,0.815308,0.487427
31124361378,0.489987,-0.439471,1.95034,0.544434,0.547363,0.901367,-60.7944433,29.62841731,74.4882748,23.5,-11.75,-8.25,0.307861,0.0773315,0.813416,0.487366
31124383958,0.4998,-0.442398,1.94586,0.51416,0.550781,0.88916,-60.2802833,30.17919831,75.3774348,18.5625,-10.9375,-5.4375,0.311523,0.0797729,0.81189,0.487244
