timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
31123940762,-1,1,-1,1,-7,-1,-4,-3
31123942240,2,-4,-7,-8,3,-1,9,-1
31123942240,0,1,-3,3,9,-2,-11,-2
31123963021,2,-4,-2,-5,10,-3,23,4
31123963021,2,4,2,-3,1,-6,-7,0
31123964538,-2,1,6,10,12,5,9,-2
31123964538,5,-1,3,1,-10,6,12,5
31123977334,-5,-2,-2,-3,-15,0,-12,-2
31123977334,-1,-4,-5,-1,-17,-4,1,-6
31123984255,-2,1,-4,-5,-8,-7,-14,-6
31123984255,-2,-2,2,-1,0,8,15,6
31124000693,1,2,2,-5,-9,-3,-15,-1
31124000693,-7,-3,-4,-2,2,-2,5,0
31124002182,-8,-2,-1,6,4,1,-2,-13
31124002182,6,0,-2,-6,-4,-6,-12,7
31124023248,-3,-2,-4,-5,-9,-2,-17,-2
31124023248,4,3,2,-1,2,-7,13,2
31124024640,-10,-5,-3,-2,-4,2,-3,-3
31124024640,-3,-1,-2,0,-5,-5,-8,-4
31124037349,2,1,3,-2,0,1,18,0
31124037349,-1,-1,-3,4,8,1,-7,1
31124044182,4,-1,-2,-5,-6,-1,15,5
31124044182,1,1,2,2,2,-6,-9,-7
31124060728,-1,-1,-4,1,1,3,-1,2
31124060728,-6,-3,-1,1,1,1,-6,-3
31124062196,5,2,0,-2,-7,-3,2,4
31124062196,-4,-4,-5,-8,-2,3,-10,1
31124083261,2,1,1,4,-5,0,12,-7
31124083261,-6,-3,-1,0,-3,-4,-10,0
31124084734,-11,0,1,-2,4,-5,1,2
31124084734,3,-1,-2,0,0,8,-4,-2
31124096809,-7,0,-2,-5,2,-8,-31,-3
31124096809,4,1,-1,2,2,-2,2,-1
31124105657,-6,-2,-2,-3,-4,1,-4,0
31124105657,-6,0,0,2,1,-4,2,-3
31124120734,8,3,0,-1,10,4,16,4
31124120734,-7,-4,-3,-4,-6,-2,-3,1
31124122252,6,-2,-1,3,-6,3,1,1
31124122252,0,-4,0,-5,1,-3,7,-4
31124143193,3,5,-2,2,0,2,-6,1
31124143193,-2,0,0,-1,-4,0,3,-2
31124144731,1,-5,-2,-5,0,-3,-8,-1
31124144731,2,3,-2,-1,4,4,23,3
31124156848,-9,-4,1,4,-6,0,-1,-2
31124156848,6,4,0,-12,1,5,-4,8
31124165743,2,2,-2,1,1,1,-15,-5
31124165743,-4,-2,1,0,-3,2,40,5
31124180679,-2,-6,-1,-4,-6,-8,-15,-3
31124180679,1,-1,-3,-3,0,0,-7,-7
31124182214,4,1,1,3,-1,-1,-3,1
31124182214,-10,-2,-3,-2,-3,-3,-1,-8
31124203099,-1,-1,-1,-4,-1,0,-9,2
31124203099,-1,-3,-4,0,-5,-7,5,-5
31124204626,-2,-1,0,0,-2,2,6,5
31124204626,10,0,-1,-3,-1,-4,-6,0
31124216890,0,3,-2,0,-1,-1,12,-2
31124216890,-2,-5,1,1,-6,-4,-20,0
31124225632,8,4,-2,-1,9,0,2,2
31124225632,-5,-1,-1,-1,-2,-2,-13,-6
31124240735,0,-2,-4,-7,-6,0,2,1
31124240735,4,5,-2,-2,3,4,14,2
31124242118,-2,-3,1,-6,-4,-1,10,-1
31124242118,-2,-2,1,3,0,-2,3,0
31124263138,1,0,4,2,-3,-2,-8,-2
31124263138,1,-1,-2,-4,0,-3,6,-1
31124264732,-2,2,-1,6,0,-1,13,-1
31124264732,3,0,-3,-4,0,5,-2,5
31124276790,4,-1,-1,0,-3,-5,8,2
31124276790,-1,-2,3,4,-3,-1,0,1
31124285644,5,2,1,1,13,1,1,-1
31124285644,-5,-4,-1,-1,-9,-7,-19,0
31124300665,-1,2,-2,0,4,-6,25,-4
31124300665,-3,-4,-3,-1,0,0,9,-1
31124302312,-3,-1,1,-4,-5,-2,-14,-5
31124302312,-1,-3,0,-1,1,3,3,5
31124323158,4,0,-1,-2,4,-1,-10,-2
31124323158,-1,2,-2,-1,-9,3,11,-1
31124324614,-3,-7,-4,-3,-4,-1,-10,-1
31124324614,-1,4,-2,2,1,-6,3,-5
31124336679,-7,-2,-2,-3,-7,0,-13,-3
31124336679,-2,-2,-1,-1,-4,1,-18,1
31124345696,0,0,3,4,-5,-1,-3,-2
31124345696,1,2,-3,-4,-2,4,2,-1
31124360689,3,-2,-1,-1,-1,0,-6,1
31124360689,-3,-2,-5,1,2,-6,-12,-3
31124362199,-3,-3,-3,0,-1,-3,26,1
31124362199,-4,-3,-2,-3,-3,-2,-15,-2
31124383286,-1,1,0,3,-2,7,2,2
31124383286,8,2,3,1,1,-4,-5,-3
31124384658,0,-4,-3,-6,-4,-7,-6,-3
31124384658,1,1,0,1,3,-3,-10,-9
31124396829,5,0,-1,0,-7,7,21,7
31124396829,-2,-2,0,1,5,3,-1,2
31124405712,-2,1,-1,-2,-5,0,-14,2
31124405712,-1,0,-2,-1,-6,-1,-4,-4
31124420562,-10,-3,1,-4,-1,-5,-13,-3
31124420562,8,-1,-1,3,-2,1,1,-1
31124422118,-1,2,-3,-3,-1,-2,5,-1
31124422118,0,2,-2,-6,0,1,-3,0
31124443158,-4,-5,-2,1,0,1,-8,-1
31124443158,-3,1,-1,-6,-4,-2,-4,-3
31124444603,-5,-4,2,0,1,5,1,-2
31124444603,1,-2,2,3,-5,2,0,2
31124456903,2,2,-1,0,-3,-6,-4,-2
