Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
164,-186.812,-199.125,132.562,0.033631633,0.068160102,-0.086844286,,,
165,-146.75,-93.75,114.312,0.058344592,0.005480704,-0.10667449,,,
166,-102.062,-15.25,86.8125,0.089534796,-0.037617551,-0.09531449,,,
167,-51.875,29.5625,40.5625,0.065469592,-0.040407755,-0.1137,,,
168,-64.0625,57.375,-3.375,0.072245714,-0.054358673,-0.098652755,,,
169,-44,67.5625,-37.4375,0.080018367,-0.068608469,-0.09347102,,,
170,-15.3125,70.625,-58.25,0.10652551,-0.027054796,-0.096161531,,,
171,1.375,73.4375,-74.4375,0.089086429,-0.028948061,-0.069804286,,,
172,12.75,58.5,-84.9375,0.089833776,-0.024065306,-0.050123571,,,
173,17.625,59.5625,-79.4375,0.088089898,-0.023517245,-0.029496122,,,
174,39.3125,61.0625,-76.625,0.084751633,-0.016043571,-0.013851224,,,
175,50.875,64.25,-73.375,0.090132755,-0.010512959,-0.003786673,,,
176,48.5,78.25,-81.625,0.094168571,0.003487724,0.010014745,,,
177,43.8125,102.75,-101.25,0.100546122,0.001494735,0.015644898,,,
178,51.8125,139.25,-129.062,0.099798673,-0.007722816,0.027752347,,,
179,69.9375,166.875,-118.875,0.084054082,-0.007822469,0.036820408,,,
180,98.5,185.312,-106.25,0.07797551,0.01973051,0.040607041,,,
181,79.25,194.938,-101.188,0.08350602,0.020527755,0.044792347,,,
182,72.8125,202.75,-97.5,0.07827449,0.024314388,0.055654082,,,
183,74.0625,189.562,-91.8125,0.063875204,0.036720714,0.06277898,,,
184,76.9375,177.562,-85.125,0.064672347,0.037866735,0.065419694,,,
185,84.3125,178.125,-76,0.063277245,0.037318673,0.064921429,,,
186,76,179.25,-67.375,0.06277898,0.030143878,0.078174796,,,
187,89.0625,161.375,-66.4375,0.057397959,0.041155102,0.08111449,,,
188,64.75,140.75,-78.75,0.044045,0.053013367,0.082609184,,,
189,48.0625,125.188,-79.125,0.041952347,0.045290612,0.087143265,,,
190,61.8125,114.375,-70.8125,0.051618265,0.040108776,0.093421122,,,
191,73.4375,106.562,-63.25,0.056700408,0.04389551,0.097606429,,,
192,75.9375,96.3125,-66.125,0.052016939,0.056700408,0.094168571,,,
193,23.9375,71,-59.8125,0.027154388,0.04703449,0.094666735,,,
194,38.5,68.875,-39.125,0.038663878,0.051967041,0.097606429,,,
195,46.3125,63.75,-39.1875,0.036820408,0.063127755,0.087541837,,,
196,34.0625,54.125,-42.5625,0.022819694,0.065818367,0.085200102,,,
197,18.5625,46.1875,-34.8125,0.023517245,0.060337653,0.090282245,,,
198,18.375,47.8125,-28.6875,0.027901837,0.059689898,0.094068878,,,
199,20.875,48.125,-27.25,0.024862449,0.065369898,0.091926429,,,
200,13.1875,42.1875,-31.875,0.01674102,0.071647755,0.090082857,,,
201,-6.8125,38.0625,-34.5625,0.014150204,0.063925,0.086096939,,,
202,-3.25,38.0625,-36.625,0.011110918,0.062181122,0.087292755,,,
203,-1.75,39.8125,-38.75,0.011160714,0.065569184,0.083057653,,,
204,-9.375,45.875,-42.9375,0.011609184,0.067014082,0.079669592,,,
205,-25.625,54.5625,-50,0.008818959,0.063426735,0.076082143,,,
206,-41.5625,68.5,-56.5625,0.008968429,0.057397959,0.071099694,,,
207,-52.0625,86.875,-62.9375,0.009267378,0.049276531,0.06706398,,,
208,-52.625,100.125,-71.1875,0.005630184,0.044244286,0.064174082,,,
209,-46.8125,108.312,-82.3125,0.001694041,0.043546735,0.06407449,,,
210,-41.625,118.188,-95,-0.003437898,0.045838673,0.065569184,,,
211,-42.4375,132,-104.25,-0.012854796,0.046137551,0.06646602,,,
212,-50.75,145.875,-113.062,-0.021474388,0.044593061,0.066067449,,,
213,-57.9375,150.75,-123.875,-0.026207755,0.037916531,0.065369898,,,
214,-64.3125,154.812,-134.938,-0.027004898,0.031190204,0.067362857,,,
215,-58.125,159.688,-149.5,-0.033930612,0.030293367,0.070750918,,,
216,-54.75,163.5,-160.75,-0.046536224,0.025759286,0.07543449,,,
217,-56.8125,168.625,-170.188,-0.053412041,0.018933367,0.079021837,,,
218,-56.75,167.688,-177.312,-0.060536939,0.010363469,0.079569898,,,
219,-60.9375,164.438,-177.812,-0.071149592,0.003188776,0.081413469,,,
220,-63.8125,160.438,-173.312,-0.085997245,-4.98246E-05,0.081463265,,,
221,-78.375,153.875,-163.938,-0.106076531,-0.000797194,0.084502551,,,
222,-92.9375,145.312,-140.188,-0.118133673,-0.011957959,0.087741122,,,
223,-99.75,136.812,-111.062,-0.112006122,-0.011260408,0.088538367,,,
224,-108.562,121.562,-87.6875,-0.107023469,-0.008270888,0.082260408,,,
225,-117.312,93.1875,-63.6875,-0.100595918,-0.016342449,0.076430918,,,
226,-112.75,70.75,-38.5625,-0.07827449,-0.017687755,0.064323571,,,
227,-100.312,62.875,-23.3125,-0.060736224,-0.012306633,0.044543163,,,
228,-96.0625,60.8125,-21.4375,-0.062928469,-0.015395816,0.022769898,,,
229,-106.5,62.875,-27,-0.065469592,-0.018285612,0.007324214,,,
230,-128.562,64.875,-32.1875,-0.074288469,-0.024812653,-0.010263878,,,
231,-143.938,75.9375,-38.0625,-0.088339082,-0.042051939,-0.009068082,,,
232,-128.125,89.3125,-42.75,-0.092075918,-0.056252041,-0.006377551,,,
233,-102.438,106.062,-44.3125,-0.099699082,-0.06277898,-0.005331235,,,
234,-79.1875,116.25,-43.0625,-0.104382653,-0.064522857,0.00298948,,,
235,-46.25,118.188,-42.5625,-0.107023469,-0.061383878,0.019082857,,,
236,-45.1875,113.188,-40.6875,-0.107372449,-0.057696939,0.023766327,,,
237,-33.4375,101.062,-42.5625,-0.098453469,-0.069704592,0.030841429,,,
238,3.75,82.125,-43.4375,-0.092723571,-0.069605,0.039261837,,,
239,24.3125,60.3125,-44.5,-0.093122245,-0.068658367,0.04090602,,,
240,40.375,39.375,-40.5625,-0.086993776,-0.068160102,0.040706735,,,
241,54.875,17.875,-38.6875,-0.089285714,-0.066864592,0.038414796,,,
242,74.125,-2.25,-36.25,-0.088538367,-0.068508878,0.031140408,,,
243,96.6875,-18.25,-33.3125,-0.089285714,-0.067910918,0.025161429,,,
244,110.312,-31.0625,-29.3125,-0.089485,-0.065768469,0.015894082,,,
245,120.375,-39.5,-21.625,-0.085748163,-0.057248469,0.010463163,,,
246,121.125,-40.125,-17.5,-0.079171327,-0.050771327,0.007573347,,,
247,118.938,-35.0625,-18.375,-0.076580408,-0.036322143,0.003637194,,,
248,-39.0625,6.9375,26.6875,-0.103585714,-0.04374602,0.023816122,,,
249,-16.5,8.6875,24.375,-0.104332653,-0.052365714,0.031190204,,,
250,8,13.25,26.5,-0.107870408,-0.050571939,0.031090612,,,
251,33.3125,19.8125,28.3125,-0.109016327,-0.053162857,0.030293367,,,
252,64.5625,24.3125,27.25,-0.103784694,-0.037368469,0.03408,,,
253,18.8125,25.8125,22.125,-0.112354082,-0.020428061,0.020826735,,,
254,-16.375,22.8125,18.75,-0.108318367,-0.055903265,0.026805612,,,
